GameID,Date,Time,Live,AwayOdds,HomeOdds
72663810,2025-04-08,08:10:52.422685,False,2.5,1.56
71198106,2025-04-08,08:10:52.425202,False,1.1,7.5
72333226,2025-04-08,08:10:52.464456,False,13.0,1.04
40761156,2025-04-08,08:10:52.523093,False,5.85,1.15
19771214,2025-04-08,08:10:52.561882,False,1.9,1.94
8507215,2025-04-08,08:10:52.564814,False,2.16,1.73
15936319,2025-04-08,08:10:52.623778,False,1.56,2.51
33951125,2025-04-08,08:10:52.682321,False,6.8,1.13
30846750,2025-04-08,08:10:52.684795,False,1.32,3.55
10824578,2025-04-08,08:10:52.743700,False,6.4,1.13
62437785,2025-04-08,08:10:52.782513,False,1.44,2.91
